College Name,Address,District,Type
BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI",RAIGAD,Deemed to be University(Pvt)
DATTAKALA GROUP OF INSTITUTIONS,"GAT NO. 541/2, 527 OFF.PUNE-SOLAPUR HIGHWAY NO. 9, A/P-SWAMI-CHINCHOLI, TAHSIL - DAUND, DIST-PUNE PIN-413130",PUNE,Private-Self Financing
SIR J. J. SCHOOL OF ART,"78, DR. D. N. ROAD, FORT, MUMBAI 01.",MUMBAI CITY,Government
MKSSS'S CUMMINS COLLEGE OF ENGINEERING FOR WOMEN,"MOUJE SUKLI (GUPCHUP), TAL. HINGNA",NAGPUR,Private-Self Financing
"SVKM'S NMIMS SCHOOL OF BUSINESS MANAGEMENT, NAVI MUMBAI","PLOT NO. 2, SECTOR-33, BEHIND RAMSETH THAKUR JUNIOR COLLEGE, KHARGHAR,TALUKA: PANVEL, NAVI MUMBAI",RAIGAD,State Private University
SANT DNYANESHWAR INSTITUTE OF MANAGEMENT AND BUSINESS ADMINISTRATION,"BHANASHIWARE, NEWASA PHATA, TALUKA NEWASA,DISTRICT AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SIR M VISVESVARAYA INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH,"ROAD NO. 7A, SEWRI WADALA ESTATE, SCHEME NO. 57, WADALA(W), MUMBAI",MUMBAI CITY,Private-Self Financing
CAMP EDUCATION SOCIETY'S RASIKLAL M. DHARIWAL INSTITUTE OF MANAGEMENT,"SECTOR NO 27/A, PRADHIKARAN, NIGDI,",PUNE,Private-Self Financing
"INSTITUTE FOR FUTURE EDUCATION, ENTREPRENEURSHIP AND LEADERSHIP","GAT NO. 178, VILLAGE KARLA",PUNE,Private-Self Financing
"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.","TILAKNAGAR, POST-WANLESSWADI,",SANGLI,Private-Self Financing
BHARAT COLLEGE OF ENGINEERING,"KANHOR, BADLAPUR (WEST)",THANE,Private-Self Financing
CITY PREMIER COLLEGE OF MANAGEMENT,"AT KHASRA NO. 60/2 & 60/3, MOUZA - ISASANI, BEHIND MIHAN, GATE NO. 3, TAHSIL - HINGNA, DISTRICT - NAGPUR.",NAGPUR,Private-Self Financing
RAMACHANDRAN INTERNATIONAL INSTITUTE OF MANAGEMENT,"MANTRI ALPINE, BUILDING C, SR. NO. 268, BAVDHAN BUDRUK, PUNE - 411021",PUNE,Private-Self Financing
JIO INSTITUTE,"SECTOR-4, ULWE, NAVI MUMBAI, MAHARASHTRA- 410206",RAIGAD,Private-Self Financing
AJEENKYA DY PATIL SCHOOL OF ENGINEERING,"DR. D. Y. PATIL KNOWELDGE CITY, S. NO. 136, CHARHOLI (BK), VIA LOHEGAON, TAL.- HAVELI",PUNE,Private-Self Financing
DR D Y PATIL VIDYAPEETH PUNE,"SANT TUKARAM NAGAR, PIMPRI",PUNE,Deemed to be University(Pvt)
DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),"SALOD(H), WARDHA, MAHARASHTRA, 442001",WARDHA,Deemed to be University(Pvt)
ADITYA SCHOOL OF BUSINESS MANAGEMENT,"ADITYA EDUCATIONAL CAMPUS, R.M.BHATTAD MARG, KALAPANA CHAWLA CHOWK, RAM NAGAR, BORIVALI WEST,",MUMBAI SUBURBAN,Private-Self Financing
